    frame.number  frame.time_relative      ip.src      ip.dst  tls.handshake.extensions_server_name  frame.len  label                                       sniDomain
0            245             0.836853  2886994435   347974929                                    41        643      1                mobile.events.data.microsoft.com
1            270             0.901380  2886994435   347974929                                    41        845      1                mobile.events.data.microsoft.com
2            457             1.232093  2886994435   878434197                                    48        583      0                              pogo.ccgateway.net
3            458             1.232344  2886994435    65908675                                    50        583      0             privacy-location-edge.ccgateway.net
4            615             1.403508           0           0                                    25        603      0                          exchange.cootlogix.com
5            623             1.412231           0           0                                    25        603      0                          exchange.cootlogix.com
6            625             1.412533           0           0                                    25        603      0                          exchange.cootlogix.com
7            683             1.465957  2886994435   918418898                                    30        583      0                                      ids4.ad.gt
8            684             1.468442  2886994435   918303990                                    30        583      0                                      ids4.ad.gt
9            798             1.556167  2886994435   870197177                                    44        583      0                                  onetag-sys.com
10           873             1.699197  2886994435   875216129                                    46        583      0                         pb-ing-02.ccgateway.net
11          2110             2.470415  2886994435  2719189623                                    33        583      0                            lb.eu-1-id5-sync.com
12          2319             2.552683           0           0                                    25        603      0                          exchange.cootlogix.com
13          2431             2.661601  2886994435  2719189620                                    33        583      0                            lb.eu-1-id5-sync.com
14          2717             2.907657  2886994435  1347245986                                    20        583      0                               cs.admanmedia.com
15          2828             2.995868  2886994435  2207855688                                    19        583      0                           cpm.vistarsagency.com
16          2881             3.004030  2886994435  3426619010                                    40        583      0                                  measureadv.com
17          3030             3.094128  2886994435  1347245985                                    20        583      0                               cs.admanmedia.com
18          4469             5.248297  2886994435   875872447                                    35        583      0                           longdogechallenge.com
19          4479             5.284337  2886994435   221559903                                    35        583      0                           longdogechallenge.com
20          4528             5.363773  2886994435  2808320772                                    59        583      0                              sync.cootlogix.com
21          4529             5.363851  2886994435  1137543470                                    59        583      0                              sync.cootlogix.com
22          4552             5.390030  2886994435  2261898209                                    59        583      0                              sync.cootlogix.com
23          4893             5.722455           0           0                                    62        284      0                             urlite.ff.avast.com
24          5019             5.899567  2886994435   134376946                                    60        583      0                            sync.ottadvisors.com
25          5407             6.256753  2886994435   390275549                                    42        583      0                           ntvcld-a.akamaihd.net
26          5467             6.303509  2886994435   337724709                                    66        583      0                                    www.temu.com
27          5489             6.332016  2886994435  1347244674                                    21        583      0                               cs.krushmedia.com
28          5500             6.382044  2886994435  1746020712                                    11        583      0                               capi.connatix.com
29          5674             6.880236           0           0                                    56        591      0                             secure.gravatar.com
30          5852             7.320283  2886994435   315774705                                    61        583      0  ucgfk6g6s7.execute-api.us-east-1.amazonaws.com
31          6446             8.428369           0           0                                    56        591      0                             secure.gravatar.com
32          6487             8.650165  2886994435  1679241375                                    63        583      1                       whitworth.instructure.com
33          6809            10.097774  2886994435   317642006                                    24        583      0                    du11hjcvx0uqb.cloudfront.net
34          6830            10.166004  2886994435   753529300                                    53        583      0                     relay-pdx.sentry.insops.net
35          7240            10.345882  2886994435    65199893                                    51        583      0                                    prod.ally.ac
