                                         sniDomain  predictedLabel
0                 mobile.events.data.microsoft.com               1
1                 mobile.events.data.microsoft.com               1
2                               pogo.ccgateway.net               1
3              privacy-location-edge.ccgateway.net               1
4                           exchange.cootlogix.com               0
5                           exchange.cootlogix.com               0
6                           exchange.cootlogix.com               0
7                                       ids4.ad.gt               1
8                                       ids4.ad.gt               1
9                                   onetag-sys.com               1
10                         pb-ing-02.ccgateway.net               1
11                            lb.eu-1-id5-sync.com               1
12                          exchange.cootlogix.com               0
13                            lb.eu-1-id5-sync.com               1
14                               cs.admanmedia.com               1
15                           cpm.vistarsagency.com               1
16                                  measureadv.com               1
17                               cs.admanmedia.com               1
18                           longdogechallenge.com               0
19                           longdogechallenge.com               0
20                              sync.cootlogix.com               0
21                              sync.cootlogix.com               0
22                              sync.cootlogix.com               0
23                             urlite.ff.avast.com               0
24                            sync.ottadvisors.com               0
25                           ntvcld-a.akamaihd.net               0
26                                    www.temu.com               0
27                               cs.krushmedia.com               1
28                               capi.connatix.com               1
29                             secure.gravatar.com               0
30  ucgfk6g6s7.execute-api.us-east-1.amazonaws.com               0
31                             secure.gravatar.com               0
32                       whitworth.instructure.com               0
33                    du11hjcvx0uqb.cloudfront.net               0
34                     relay-pdx.sentry.insops.net               0
35                                    prod.ally.ac               0
36                       whitworth.instructure.com               0
37                                    cdn.pendo.io               0
38                                 mail.google.com               0
39                                   data.pendo.io               0
40                                 www.gstatic.com               0
41                                docs.tenable.com               0
42          appsgrowthpromo-pa.clients6.google.com               1
43                             accounts.google.com               1
44                             accounts.google.com               1
45                       ci3.googleusercontent.com               0
46                                 www.gstatic.com               0
47                                 mask.icloud.com               0
48                                  www.google.com               0
49                                  www.google.com               0
50                              mask-h2.icloud.com               0
51                                 play.google.com               0
52                                  ogs.google.com               0
53                       lh3.googleusercontent.com               0
54                           imasdk.googleapis.com               0
55                             mail-ads.google.com               0
56                               fonts.gstatic.com               0
57                                    optical.toys               0
58                            fonts.googleapis.com               0
59                               fonts.gstatic.com               0
60                              cdn.intergient.com               0
61                               billowybelief.com               1
62                               assets.codepen.io               1
63                       raw.githubusercontent.com               0
64    impression-inferences-edge-prod.playwire.com               0
65                                    btloader.com               1
66                               rumcdn.geoedge.be               0
67                         pb-ing-02.ccgateway.net               0
68                            bisrtb.cootlogix.com               1
69                              static.vidazoo.com               0
70                             urlite.ff.avast.com               0
71                  cd836371f1d.cdn.intergient.com               0
72                             urlite.ff.avast.com               0
73                           imasdk.googleapis.com               0
74                                 c.ltmsphrcl.net               0
75                        carbon-cdn.ccgateway.net               0
76                               ab.dns-finder.com               0
77                             config.playwire.com               0
78                                 ad-delivery.net               1
79                                api.btloader.com               1
80                  cd836371f1d.cdn.intergient.com               0
81             privacy-location-edge.ccgateway.net               0
82                                    sliding.toys               0
83                                cdn.hadronid.net               1
84                        secure.cdn.fastclick.net               0
85                                hb.yellowblue.io               0
86                           prebid.intergient.com               0
87                          exchange.cootlogix.com               0
88                            fonts.googleapis.com               0
89                               fonts.gstatic.com               0
90                              cdn.intergient.com               0
91                                 id.hadron.ad.gt               0
92                                         a.ad.gt               1
93                            fonts.googleapis.com               0
94                                         a.ad.gt               1
95                                 id.hadron.ad.gt               0
96                               fonts.gstatic.com               0
97                              cdn.intergient.com               0
98                          exchange.cootlogix.com               0
99                          exchange.cootlogix.com               0
